,text,primary_emotion,secondary_emotions,meta_emotions,sentiment,interaction_style,intensity,context,clean_text
0,"I’m proud of my friend for overcoming her struggles, but it makes me wonder if I’m doing enough with my life.",Admiration,"['Envy', 'Guilt']","['Pride about admiration', 'Shame about envy']",Mixed,Reflective,4,Relationships,proud friend overcoming struggle make wonder enough life
1,"Finally finished that project! It was exhausting, but I’m thrilled it’s done!",Relief,"['Joy', 'Pride']",['Contentment about relief'],Positive,Assertive,5,Career,finally finished project ! exhausting thrilled done !
2,The laughter we shared during our reunion was the best part of my week. I miss those moments already.,Nostalgia,"['Joy', 'Bittersweetness']",['Gratitude about joy'],Positive,Supportive,6,Relationships,laughter shared reunion best part week miss moment already
3,Why does everything feel so uncertain right now? I wish I had some clarity.,Uncertainty,"['Anxiety', 'Frustration']",['Vulnerability about uncertainty'],Ambiguous,Conflicted,5,Self-Reflection,everything feel uncertain right ? wish clarity
4,Graduation feels both exciting and sad. It’s the end of something beautiful but the start of something new.,Bittersweetness,"['Joy', 'Sadness']","['Pride about accomplishment', 'Nostalgia about ending']",Mixed,Supportive,6,Education,graduation feel exciting sad end something beautiful start something new
5,"I can’t believe they lied to me. I trusted them, and now I feel so betrayed.",Anger,"['Frustration', 'Sadness']",['Regret about misplaced trust'],Negative,Conflicted,7,Relationships,believe lied trusted feel betrayed
6,Looking at old photos makes me smile and cry at the same time. Those moments were so precious.,Nostalgia,"['Joy', 'Sadness']","['Gratitude about the past', 'Bittersweetness about time passing']",Mixed,Reflective,6,Self-Reflection,looking old photo make smile cry time moment precious
7,"When I heard the news, I felt a rush of joy and relief—it was like a weight had been lifted.",Relief,"['Joy', 'Gratitude']",['Contentment about positive resolution'],Positive,Supportive,5,Health,heard news felt rush joy relief like weight lifted
8,"I’m so excited about the new project! It’s challenging, but I feel ready to take it on.",Excitement,"['Anticipation', 'Confidence']",['Pride about readiness'],Positive,Assertive,6,Career,excited new project ! challenging feel ready take
9,The way they helped me when I was struggling shows how much they care—it means so much to me.,Gratitude,"['Love', 'Relief']",['Appreciation about kindness'],Positive,Supportive,6,Relationships,way helped struggling show much care mean much
10,"Losing the championship by just one point is heartbreaking, but I’m proud of how far we came as a team.",Bittersweetness,"['Pride', 'Sadness']","['Gratitude about teamwork', 'Disappointment about loss']",Mixed,Reflective,7,Sports,losing championship one point heartbreaking proud far came team
11,"When I look at my child’s achievements, I feel an overwhelming sense of pride and joy—it’s such a special feeling.",Pride,"['Joy', 'Gratitude']",['Contentment about family'],Positive,Supportive,6,Family,look child achievement feel overwhelming sense pride joy special feeling
12,"I feel completely stuck in this situation. Every time I think I’ve made progress, another obstacle appears.",Frustration,"['Hopelessness', 'Sadness']",['Exhaustion about persistence'],Negative,Conflicted,7,Career,feel completely stuck situation every time think made progress another obstacle appears
13,"Watching the sunset over the ocean fills me with a serene, almost otherworldly calm—it’s like time stands still.",Serenity,"['Awe', 'Contentment']",['Gratitude about nature'],Positive,Reflective,5,Nature,watching sunset ocean fill serene almost otherworldly calm like time stand still
14,I was genuinely surprised by how kind they were—completely unexpected but very appreciated.,Surprise,"['Gratitude', 'Joy']",['Appreciation about unexpected kindness'],Positive,Supportive,5,Relationships,genuinely surprised kind completely unexpected appreciated
15,Knowing that my efforts inspired others to take action makes all the hard work feel worthwhile.,Pride,"['Gratitude', 'Fulfillment']",['Satisfaction about making a difference'],Positive,Assertive,6,Activism,knowing effort inspired others take action make hard work feel worthwhile
16,Every decision I make seems to lead to more confusion—I can’t figure out what the right path is.,Uncertainty,"['Anxiety', 'Frustration']",['Vulnerability about indecision'],Ambiguous,Conflicted,6,Self-Reflection,every decision make seems lead confusion figure right path
17,Hearing their words of encouragement just when I was about to give up gave me a renewed sense of hope.,Hope,"['Gratitude', 'Relief']",['Appreciation about timely support'],Positive,Supportive,7,Personal Growth,hearing word encouragement give gave renewed sense hope
18,The overwhelming sadness I felt when I realized I couldn’t attend their wedding was mixed with genuine happiness for them.,Bittersweetness,"['Sadness', 'Joy']","['Regret about missing an event', 'Happiness for their milestone']",Mixed,Reflective,6,Relationships,overwhelming sadness felt realized attend wedding mixed genuine happiness
19,"Every time I think about that mistake, I feel a wave of regret and wonder how things could have been different.",Regret,"['Sadness', 'Frustration']",['Self-reflection about past actions'],Negative,Conflicted,7,Self-Reflection,every time think mistake feel wave regret wonder thing could different
