Model,Accuracy,F1 Score (weighted)
Bag of Words - Logistic Regression,0.7733333333333333,0.7737146290638404
TF-IDF - Linear SVM,0.7573333333333333,0.7575622029525866
TF-IDF - Logistic Regression,0.7493333333333333,0.7454836120321658
Bag of Words - Naive Bayes,0.7226666666666667,0.7220857286306281
Bag of Words - Linear SVM,0.7226666666666667,0.7232171795207006
300D Embeddings - Linear SVM,0.7146666666666667,0.7099042069700473
300D Embeddings - Random Forest,0.712,0.6971216664734804
TF-IDF - Naive Bayes,0.6853333333333333,0.6769973803192149
300D Embeddings - Logistic Regression,0.6746666666666666,0.660230494717572
100D Embeddings - Logistic Regression,0.6613333333333333,0.6527144399460189
100D Embeddings - Linear SVM,0.656,0.6488896926066671
100D Embeddings - Random Forest,0.6533333333333333,0.6397359009275226
Embeddings - Random Forest,0.6266666666666667,0.6118643361993291
TF-IDF Weighted Embeddings - Random Forest,0.624,0.6145360927700996
TF-IDF Weighted Embeddings - Logistic Regression,0.5786666666666667,0.5716909743717011
Embeddings - Logistic Regression,0.5653333333333334,0.5487187739463601
Embeddings - Linear SVM,0.5653333333333334,0.5438200914514977
TF-IDF Weighted Embeddings - Linear SVM,0.5626666666666666,0.5472187786296703
Lexicon Features - Logistic Regression,0.56,0.5390799054163775
Lexicon Features - Linear SVM,0.5573333333333333,0.5380214168488956
Lexicon Features - Random Forest,0.5546666666666666,0.5444519005407144
