text,actual_sentiment,predicted_sentiment,is_correct
"I’m proud of my friend for overcoming her struggles, but it makes me wonder if I’m doing enough with my life.",Mixed,Mixed,True
"Finally finished that project! It was exhausting, but I’m thrilled it’s done!",Positive,Positive,True
The laughter we shared during our reunion was the best part of my week. I miss those moments already.,Positive,Mixed,False
Why does everything feel so uncertain right now? I wish I had some clarity.,Ambiguous,Ambiguous,True
Graduation feels both exciting and sad. It’s the end of something beautiful but the start of something new.,Mixed,Mixed,True
"I can’t believe they lied to me. I trusted them, and now I feel so betrayed.",Negative,Negative,True
Looking at old photos makes me smile and cry at the same time. Those moments were so precious.,Mixed,Mixed,True
"When I heard the news, I felt a rush of joy and relief—it was like a weight had been lifted.",Positive,Mixed,False
"I’m so excited about the new project! It’s challenging, but I feel ready to take it on.",Positive,Positive,True
The way they helped me when I was struggling shows how much they care—it means so much to me.,Positive,Positive,True
"Losing the championship by just one point is heartbreaking, but I’m proud of how far we came as a team.",Mixed,Mixed,True
"When I look at my child’s achievements, I feel an overwhelming sense of pride and joy—it’s such a special feeling.",Positive,Positive,True
"I feel completely stuck in this situation. Every time I think I’ve made progress, another obstacle appears.",Negative,Negative,True
"Watching the sunset over the ocean fills me with a serene, almost otherworldly calm—it’s like time stands still.",Positive,Positive,True
I was genuinely surprised by how kind they were—completely unexpected but very appreciated.,Positive,Positive,True
Knowing that my efforts inspired others to take action makes all the hard work feel worthwhile.,Positive,Positive,True
Every decision I make seems to lead to more confusion—I can’t figure out what the right path is.,Ambiguous,Ambiguous,True
Hearing their words of encouragement just when I was about to give up gave me a renewed sense of hope.,Positive,Positive,True
The overwhelming sadness I felt when I realized I couldn’t attend their wedding was mixed with genuine happiness for them.,Mixed,Mixed,True
"Every time I think about that mistake, I feel a wave of regret and wonder how things could have been different.",Negative,Negative,True
"Winning the award was such an incredible moment, but it also made me feel a bit overwhelmed by the expectations that come with it.",Mixed,Mixed,True
The kindness of a stranger who stopped to help me fix my flat tire left me speechless and deeply moved.,Positive,Positive,True
"Reflecting on our last conversation, I feel such a mix of gratitude for their advice and sadness knowing we won’t meet again.",Mixed,Mixed,True
The joy of holding my newborn baby for the first time was beyond anything I could describe—pure love and wonder.,Positive,Positive,True
"As I stood on stage delivering my speech, I felt a mix of pride in my journey and anxiety about being judged.",Mixed,Mixed,True
"The nostalgia of flipping through old yearbooks hit me hard—it’s amazing to see how far we’ve come, but I miss those days.",Mixed,Mixed,True
The way they celebrated my success with such genuine excitement made me feel so valued and loved.,Positive,Positive,True
Seeing my art displayed in the gallery was a dream come true. It filled me with pride and gratitude for everyone who supported me along the way.,Positive,Positive,True
"Finding the letter from my late grandmother brought back a flood of emotions—sadness that she’s gone, but warmth and love in her words.",Mixed,Mixed,True
"Standing on top of the mountain, looking out over the endless horizon, I felt an overwhelming sense of awe and connection to the world around me.",Positive,Positive,True
"After working tirelessly on the project, hearing the client’s genuine appreciation made all the late nights worth it.",Positive,Positive,True
The silence in the room after my question was met with blank stares made me feel vulnerable and unsure of myself.,Negative,Negative,True
Seeing the old neighborhood transformed into a commercial zone brought up a mix of sadness for what was lost and curiosity about the future.,Mixed,Mixed,True
"When I was asked to lead the team, I felt both honored and overwhelmed by the responsibility ahead.",Mixed,Mixed,True
Helping my friend through their difficult time reminded me of the strength of our bond and left me feeling grateful for their trust.,Positive,Positive,True
The sudden applause after my performance took me by surprise but filled me with an immense sense of joy and validation.,Positive,Positive,True
"Walking through the old library, I felt a profound sense of nostalgia for the countless afternoons spent immersed in books during my youth.",Mixed,Mixed,True
"When the team cheered for my idea during the brainstorming session, I felt a mix of pride and relief knowing my contributions were valued.",Positive,Positive,True
The documentary about climate change left me with a heavy sense of urgency and determination to make a difference in my own way.,Mixed,Mixed,True
"After weeks of anticipation, receiving the letter of acceptance to my dream university brought a wave of joy and pride that I’ll never forget.",Positive,Positive,True
"Finding out that I had been excluded from the group project hurt deeply, leaving me feeling isolated and frustrated.",Negative,Negative,True
"Watching the sunrise from the top of the hill filled me with an overwhelming calm, as if the world itself was at peace for that moment.",Positive,Positive,True
Being reunited with my best friend after years apart brought an instant rush of joy and comfort as if no time had passed.,Positive,Positive,True
"As the storm raged outside, I felt a mix of fear and awe at the sheer power of nature, leaving me both uneasy and amazed.",Mixed,Mixed,True
"Standing ovation from the audience made me feel like all the hard work over the years had finally paid off, leaving me emotional and fulfilled.",Positive,Positive,True
Revisiting the letters from my childhood pen pal filled me with a deep sense of nostalgia and a longing to reconnect with simpler times.,Mixed,Mixed,True
Receiving unexpected praise from my mentor not only boosted my confidence but made me feel truly seen and valued.,Positive,Positive,True
Watching the final scene of the movie brought tears to my eyes as it perfectly encapsulated both the sadness and beauty of the protagonist's journey.,Mixed,Mixed,True
"When I finally stood on the summit after hours of climbing, I felt an overwhelming sense of accomplishment and connection to nature.",Positive,Positive,True
Hearing the bad news about my friend's health left me feeling a mix of worry for their well-being and guilt for not being more present lately.,Negative,Negative,True
The unexpected kindness of the stranger who paid for my coffee left me feeling a warm sense of connection and gratitude.,Positive,Positive,True
Reflecting on my team's failure to meet the project deadline fills me with frustration and a determination to find ways to improve our process.,Mixed,Mixed,True
"As I held the old, tattered book in my hands, I felt a profound respect for its history and the countless stories it must have witnessed over time.",Positive,Positive,True
Reuniting with my childhood best friend after decades apart brought a flood of joy and an instant reminder of the unbreakable bond we share.,Positive,Positive,True
"The applause after delivering my first keynote speech was exhilarating, but it also left me reflecting on the responsibility of living up to expectations.",Mixed,Mixed,True
"Walking through the ruins of the ancient city, I felt a deep connection to the past and a sense of awe at the legacy left behind by those who came before us.",Positive,Mixed,False
"When I read their heartfelt letter of appreciation, I felt an overwhelming sense of gratitude and an urge to do even more to help others.",Positive,Positive,True
"Seeing my child take their first steps filled me with an indescribable mix of joy, pride, and a touch of melancholy knowing they are growing so fast.",Mixed,Mixed,True
"The candid feedback from my mentor stung at first, but it quickly turned into a moment of clarity and determination to improve myself.",Mixed,Mixed,True
The storm rolling in over the horizon filled me with both fear of its power and awe at its breathtaking beauty.,Mixed,Mixed,True
Learning about the sacrifices my ancestors made gave me a profound sense of pride in my heritage and a responsibility to honor their legacy.,Positive,Positive,True
Witnessing the selfless act of a stranger saving a stray animal filled me with hope for humanity and a desire to pay it forward in my own way.,Positive,Positive,True
Packing up my childhood home was an emotional rollercoaster of gratitude for the memories and sadness at leaving it all behind.,Mixed,Mixed,True
Receiving my first paycheck after years of hard work in school filled me with an unparalleled sense of pride and independence.,Positive,Positive,True
"Watching my child graduate brought tears of joy and a tinge of sadness, realizing how quickly time has flown by.",Mixed,Mixed,True
Exploring the vibrant streets of a foreign city for the first time filled me with awe and a sense of infinite possibility.,Positive,Positive,True
The heartfelt apology from my friend not only mended our relationship but filled me with a deep sense of relief and gratitude.,Positive,Positive,True
"Standing in the middle of the forest, surrounded by towering trees, I felt an overwhelming connection to nature and peace within myself.",Positive,Positive,True
"After weeks of preparation, delivering my final project presentation brought me a mix of exhaustion, pride, and relief.",Mixed,Mixed,True
"The random act of kindness from a stranger, offering me their umbrella during a rainstorm, left me deeply touched and grateful.",Positive,Positive,True
"While watching an old family video, I felt a wave of nostalgia mixed with sadness, remembering moments that can never be relived.",Mixed,Mixed,True
"Completing my first marathon, despite the pain and challenges, left me with an immense sense of accomplishment and resilience.",Positive,Positive,True
Rebuilding the community garden after the storm brought everyone together in a shared sense of purpose and hope for renewal.,Positive,Positive,True
Finding an old photograph of my grandparents filled me with a deep sense of connection to my roots and a longing for stories I never got to hear.,Mixed,Mixed,True
"After months of self-doubt, receiving the scholarship felt like a turning point, giving me pride in my hard work and hope for the future.",Positive,Positive,True
Witnessing the ocean's vastness for the first time left me in awe of its beauty and humbled by my own small place in the universe.,Positive,Positive,True
"Apologizing to my sibling after years of estrangement was both terrifying and liberating, bringing a mix of vulnerability and relief.",Mixed,Mixed,True
"The standing ovation after my play's premiere was an overwhelming blend of pride, gratitude, and sheer disbelief that my work touched so many.",Positive,Positive,True
Realizing that my childhood treehouse had been taken down filled me with a bittersweet longing for the simplicity of those carefree days.,Mixed,Mixed,True
Helping an injured bird recover and watching it fly again filled me with a profound sense of connection to life and purpose.,Positive,Positive,True
"Standing at the edge of the Grand Canyon, I felt a mix of fear and exhilaration at the sheer scale and majesty of the view before me.",Mixed,Mixed,True
"Holding my newborn niece for the first time brought an overwhelming mix of joy, love, and a sense of responsibility to be a part of her life.",Positive,Positive,True
Revisiting the battlefield where my grandfather fought during the war filled me with profound respect and a deep connection to his legacy.,Positive,Positive,True
Finding out I had been promoted left me with an incredible sense of pride and excitement for the opportunities ahead.,Positive,Positive,True
"As the final note of the concert echoed through the hall, I felt a rare harmony between the music, the audience, and my own emotions.",Positive,Positive,True
Watching the sunrise after a sleepless night filled me with hope and a quiet determination to face the challenges of the new day.,Positive,Positive,True
Clearing out my childhood room brought a flood of bittersweet emotions as I unearthed forgotten memories and prepared for a new chapter in life.,Mixed,Mixed,True
Receiving heartfelt feedback from someone who said my writing changed their perspective on life left me humbled and deeply inspired to continue creating.,Positive,Positive,True
"As the plane landed in my hometown after years away, I felt a mix of relief, excitement, and a deep sense of belonging.",Positive,Positive,True
"Apologizing to my team for an error I made was difficult, but their understanding and support left me feeling both humbled and appreciated.",Mixed,Mixed,True
"As I stood before the old family portrait, the memories of laughter and warmth filled the room, but the absence of those I had lost left a palpable void, a mixture of sorrow and love for what once was.",Mixed,Mixed,True
"Seeing my best friend succeed in their new venture made me incredibly proud, but at the same time, I couldn’t help but feel a pang of jealousy about my own unfulfilled dreams.",Mixed,Mixed,True
"After months of intense training, the moment I crossed the finish line in my first marathon, I was overwhelmed with a rush of exhilaration, pride, and a sense of accomplishment like never before.",Positive,Positive,True
"When I found out my childhood home was being sold, I was filled with bittersweet emotions, longing for the simpler days but knowing it was time to let go and move forward.",Mixed,Mixed,True
"At the art gallery, as I stood before a masterpiece that seemed to capture the very essence of human emotion, I felt a profound sense of awe and a deep respect for the artist's ability to communicate so powerfully.",Positive,Positive,True
"Sitting by the fire with my loved ones, I was filled with a deep sense of gratitude and contentment, realizing just how fortunate I was to be surrounded by such warmth and love during the holidays.",Positive,Positive,True
"The overwhelming weight of uncertainty about my future has been keeping me up at night, as I feel torn between hope for new opportunities and fear of failure.",Mixed,Mixed,True
"During our road trip, when we stopped to watch the sunset over the mountains, I felt a profound sense of awe mixed with a deep appreciation for nature's ability to humble and inspire.",Positive,Positive,True
"The moment I held my baby niece in my arms, my heart swelled with joy and love, knowing that I was witnessing a new chapter in our family's story.",Positive,Positive,True
"After months of preparing for my first solo concert, standing on stage, I felt a mixture of excitement, nervousness, and a sense of fulfillment as the crowd cheered for the first note I played.",Positive,Positive,True
Reading a heartfelt letter from a loved one expressing their appreciation for me made me feel deeply humbled and reminded me of the impact kindness can have on others.,Positive,Positive,True
"As I stood at the edge of the ocean, watching the waves crash against the shore, I felt a profound sense of peace and a reminder of how small and connected we are to the world around us.",Positive,Positive,True
"The announcement of the election results left me with a sense of disbelief, as the joy of victory for some was met with the anger and disappointment of those who had hoped for change.",Mixed,Mixed,True
"I felt an overwhelming rush of gratitude as my family came together for the first time in years, each of us acknowledging how much we had grown and changed while still sharing the same deep bonds.",Positive,Positive,True
"As I sat at the window watching the rain, I couldn’t shake the feeling of melancholy that crept in, as if the weather mirrored the heaviness in my heart, weighed down by unspoken regrets.",Negative,Negative,True
"The laughter of my friends echoed in the distance, and as I watched them enjoy the moment, I felt a deep sense of fulfillment and joy, realizing how much these simple moments with them meant to me.",Positive,Positive,True
"During the meeting, as my proposal was finally accepted, a wave of relief washed over me, accompanied by an unexpected surge of pride for pushing through despite the challenges.",Positive,Positive,True
"As the last chapter of the novel came to an end, I was filled with a deep sense of bittersweetness, knowing I would miss the characters but content with the journey I had shared with them.",Mixed,Mixed,True
"When I lost my childhood pet, the grief felt almost unbearable, but as I remembered the joy they brought into my life, a sense of gratitude and love for the time we had together gently emerged.",Mixed,Mixed,True
"The moment I was offered the job I had worked so hard for, I felt an overwhelming sense of excitement and accomplishment, knowing that this was the start of something bigger than I had ever imagined.",Positive,Positive,True
"Walking through the old neighborhood, the familiar sights and smells brought a flood of nostalgia, and for a brief moment, I was transported back to my younger, carefree days.",Mixed,Mixed,True
"As I held my newborn child for the first time, an overwhelming surge of love and protectiveness filled my heart, and I realized just how much my life had changed in that single moment.",Positive,Positive,True
"Standing in front of the mirror after the makeover, I couldn't help but feel a rush of excitement and self-appreciation. It was a reflection of how far I'd come, not just in appearance but in my own self-esteem.",Positive,Positive,True
"When my partner proposed, a flood of emotions washed over me—overwhelming joy, love, and a deep sense of responsibility for the future we were about to build together.",Positive,Positive,True
"After months of difficult conversations, when my friend apologized for their actions, I felt an unexpected mix of relief and gratitude, knowing that our bond had endured despite the tension.",Positive,Positive,True
"As the first snowflake fell and the world seemed to quiet down, I felt a deep sense of serenity wash over me. It was a moment of calm amidst the chaos of life, reminding me to take a step back and breathe.",Positive,Positive,True
"When I saw the final results of my hard work, the feeling of accomplishment was undeniable. Yet, there was also a tinge of uncertainty about what the next step would hold, even as I basked in the glory of success.",Mixed,Mixed,True
"During the family reunion, as my cousin shared their journey through a difficult time, I felt a mixture of admiration for their strength and a deep sense of sadness for their pain.",Mixed,Mixed,True
"After hearing the news of the environmental disaster, I felt an overwhelming wave of fear for the future, coupled with frustration at the lack of progress in addressing the crisis.",Negative,Negative,True
"As the concert ended and the audience erupted into applause, I felt a rush of exhilaration and pride. It was a moment where everything clicked—the performance, the crowd, and my passion for the art.",Positive,Positive,True
"The last time I spoke to my grandmother, I felt a mix of love, nostalgia, and regret, knowing that those conversations were now memories, forever cherished but no longer possible.",Mixed,Mixed,True
"As I watched the sunset over the city, I was filled with a deep sense of peace, knowing that tomorrow was another chance to make progress on the dreams I've worked so hard for.",Positive,Positive,True
"After the long flight, stepping onto the soil of my ancestral homeland felt surreal. I was overwhelmed with a sense of connection to generations past, yet filled with uncertainty about what this new chapter held for me.",Mixed,Mixed,True
"I had been working tirelessly for months, and the moment I saw the final product, I was hit with an overwhelming wave of pride, but there was also an unsettling sense of fear about how others would perceive it.",Mixed,Mixed,True
"The joy I felt when my sister gave birth was immeasurable. Holding my niece for the first time, I realized just how deeply connected I felt to this new life, filled with love, protection, and overwhelming hope for her future.",Positive,Positive,True
"The email arrived just as I had been losing hope. To finally receive the scholarship I had worked for felt like an incredible victory, but beneath the excitement was a lingering fear of the immense responsibility now resting on my shoulders.",Mixed,Mixed,True
"As I watched my friends dance joyfully at the wedding, I felt a sense of deep contentment and connection, knowing that their happiness and the love in the air were a reflection of the bonds we had all worked so hard to build over the years.",Positive,Positive,True
"I was standing in front of the old house, now empty, and I couldn't help but feel a rush of sadness mixed with nostalgia. It was a place filled with memories, but letting go of it was also a symbol of moving forward, even if it was difficult.",Mixed,Mixed,True
"The first time I stood on stage as a public speaker, the overwhelming sense of fear was quickly replaced by a powerful rush of empowerment. As I spoke, I could see the audience reacting, and that was the moment I realized I had found my voice.",Positive,Positive,True
"As I sat alone in the café, watching people laugh and interact, I felt a wave of loneliness mixed with deep appreciation for the solitude that allowed me to reflect on my own journey, my goals, and the person I was becoming.",Mixed,Mixed,True
"The moment I saw my friend after years apart, I was overwhelmed with joy. Yet, beneath that joy was a tinge of sadness, knowing that time had changed us both, even though our bond remained strong.",Mixed,Mixed,True
"After receiving the news about the unexpected passing of my mentor, a wave of grief swept over me. However, I also felt immense gratitude for the lessons they had taught me and the influence they had on shaping who I am today.",Mixed,Mixed,True
