Model,Accuracy,F1 Score (weighted)
Lexicon Features - Linear SVM,0.9226666666666666,0.9230599486760296
Lexicon Features - Logistic Regression,0.9013333333333333,0.9001165637306199
TF-Lexicon - Logistic Regression,0.888,0.8868005034797488
BERT-Lexicon - Logistic Regression,0.88,0.8781856566392329
TF-BERT-Lexicon - Logistic Regression,0.872,0.8686801598978341
TF-Lexicon - Linear SVM,0.8506666666666667,0.8444859029641969
BERT-Lexicon - Linear SVM,0.8373333333333334,0.8313185246407637
TF-BERT-Lexicon - Linear SVM,0.7893333333333333,0.7689948836489293
TF-BERT-VADER - Logistic Regression,0.7866666666666666,0.7810320707979497
TF-VADER - Logistic Regression,0.7493333333333333,0.7395698188909635
Bag of Words - Logistic Regression,0.7466666666666667,0.742693872425585
BERT-VADER - Linear SVM,0.7306666666666667,0.7120872992526621
Sentence Embeddings - Linear SVM,0.7253333333333334,0.7067437125293909
TF-IDF - Linear SVM,0.7226666666666667,0.699060853113175
BERT-VADER - Logistic Regression,0.72,0.7125424598930482
TF-VADER - Linear SVM,0.7173333333333334,0.6952774936061381
TF-IDF - Logistic Regression,0.7173333333333334,0.6949821948513558
Sentence Embeddings - Logistic Regression,0.704,0.6872975588790607
Bag of Words - Linear SVM,0.696,0.6715263968184123
TF-BERT-VADER - Linear SVM,0.6933333333333334,0.6609201564068361
