Model,Accuracy,F1 Score (weighted)
Combined vader bert - Logistic Regression,0.7866666666666666,0.7810320707979497
Combined All BERT - Logistic Regression,0.784,0.7778011895309214
HyperParameter tuning - Logistic Regression,0.7813333333333333,0.7778153402858337
Combined All Features - Logistic Regression,0.7573333333333333,0.7466391546492175
Combined VADER - Logistic Regression,0.7493333333333333,0.7395698188909635
Combined NRC - Logistic Regression,0.7493333333333333,0.738913326360628
HyperParameter tuning - SVM,0.7466666666666667,0.7454291394301273
Bag of Words - Logistic Regression,0.7466666666666667,0.742693872425585
Combined All Features - Linear SVM,0.7333333333333333,0.7121248541760472
Sentence Embeddings Pro - Linear SVM,0.7253333333333334,0.7067437125293909
Combined NRC - Linear SVM,0.7226666666666667,0.7002834828874017
TF-IDF - Linear SVM,0.7226666666666667,0.699060853113175
Combined VADER - Linear SVM,0.7173333333333334,0.6952774936061381
TF-IDF - Logistic Regression,0.7173333333333334,0.6949821948513558
Combined All BERT - Linear SVM,0.704,0.6706700502160394
Sentence Embeddings Pro - Logistic Regression,0.704,0.6872975588790607
Bag of Words - Linear SVM,0.696,0.6715263968184123
Combined vader bert - Linear SVM,0.6933333333333334,0.6609201564068361
